Brand,Model,Title,Price,Year,Kilometers
Abarth,595,ABARTH 595 COMPETIZIONE GCC FULL OPTION SINGLE OWNER FULL SERVICE HISTORY FROM AL GHANDI AUTO,"59,000",2020,"69,772 km"
Land Rover,Range Rover,LAND ROVER VOUGE HSE V6 SUPERCHARGE GCC FULL OPTION SINGLE OWNER FULL SERVICE HISTORY FROM AL TAYER,"98,000",2017,"135,000 km"
Jeep,Grand Cherokee L,2025 JEEP GRAND CHEROKEE L LIMITED PLUS LUXURY GCC 0Km With 3Yrs or 60K Km Warranty @Official Dealer,"224,999",2025,0 km
Peugeot,408,( ТОЛЬКО НА ЭКСПОРТ ) 2025 PEUGEOT 408 GT 1.6 TURBO FWD GCC BRAND NEW,"109,999",2025,0 km
RAM,1500,2025 RAM 1500 LIMITED CREW CAB SST H.O 3.0TT GCC 0KM 3 Years Or 60K Km Warranty  At Official Dealer,"285,999",2025,0 km
McLaren,720S,"2022 MCLAREN 720S, MCLAREN WARRANTY, VERY LOW KMS, GCC","949,000",2022,"20,000 km"
Ford,Edge,2013 Ford edge 120k km gcc specs full options panoramic sunroof in perfect condition,"23,000",2013,"120,000 km"
BMW,3-Series,"2,800 P.M  | 330i M-kit | 0% Downpayment | Excellent Condition!","142,999",2021,"77,000 km"
BMW,X5,"3,329 P.M  | X5 xDrive40i | 0% Downpayment | Immaculate Condition!","169,999",2020,"103,000 km"
Chevrolet,Corvette,"7,833 P.M  | Corvette 6.2L | 3LT | 0% Downpayment | Agency Warranty!","399,999",2023,"6,000 km"
Bentley,Bentayga,"2023 BENTLEY BENTAYGA SPEED V12, UNDER BENTLEY WARRANTY  SERVICE, FULLY LOADED, GCC SPECS","895,000",2023,"8,000 km"
Ford,Bronco,"4,896 P.M  | Bronco WILDTRAK | 0% Downpayment | WARRANTY 2028!","249,999",2023,"11,000 km"
Ford,Explorer,XLT • UNDER WARRANTY • FULL-SERVICE HISTORY AGENCY,"124,990",2022,"99,400 km"
Jaguar,F-Pace,"2,850 P.M (4 Years)⁣ | F-Pace S | 0% Downpayment | F-Pace S AWD | Low Mileage!","119,999",2017,"79,000 km"
BMW,X4,XDRIVE 30i M-SPORT • UNDER WARRANTY AND SERVICE PLAN • LOW KM’S,"164,990",2021,"84,000 km"
Jetour,X70,BRAND NEW 2025 JETOUR X70 FL | 7 SEATER | WARRANTY+SERVICE [ABU-DHABI SHOWROOM],"79,000",2025,10 km
Chevrolet,Silverado,SILVERADO ZR2 6.2L V8 • NEW SHAPE • UNDER AGENCY WARRANTY,"199,990",2022,"61,000 km"
Chevrolet,Silverado,"CHEVROLET SILVERADO 1500 LT Z71 • 27,000 KMS • AGENCY SERVICE HISTORY","139,990",2022,"27,000 km"
BMW,X6,BMW X6 X-DRIVE M40i • M-SPORT PACKAGE • AGENCY SERVICE HISTORY,"179,990",2020,"126,000 km"
Mercedes-Benz,C-Class,C63S FIRST EDITION• FULL-SERVICE HISTORY AGENCY • GCC,"239,990",2017,"69,000 km"
Jeep,Wrangler Unlimited,"2,644 P.M  | Wrangler Sport | 0% Downpayment | Agency Warranty","134,999",2020,"80,000 km"
BMW,4-Series,420i CONVERTIBLE • UNDER WARRANTY AND SERVICE PLAN AGENCY • LOW KM’S,"229,990",2024,"21,957 km"
Dodge,Challenger,SXT PLUS • GCC • PRISTINE,"89,990",2018,"108,400 km"
Ford,F-Series Pickup,MY24/24 FORD F-150 RAPTOR R 5.2L SUPERCHARGED V8 GCC 0KM With 3 Years Or 100K KM Warranty,"559,999",2024,0 km
Chevrolet,Camaro,50th ANNIVERSARY EDITION • SS 6.2L • FULL-SERVICE HISTORY,"104,990",2017,"65,000 km"
Jetour,T2,LUXURY • UNLIMITED KM’S WARRANTY • GCC,"159,990",2025,"18,100 km"
Jaguar,XF,XF R SPORT • GCC SPEC • FULL-SERVICE HISTORY AGENCY,"79,990",2018,"67,000 km"
Mazda,CX-9,CX-9 IGNITE • GCC • UNDER WARRANTY AND SERVICE PLAN,"114,990",2021,"81,200 km"
Ford,Bronco,WILDTRACK SASQUATCH • LOW KM’s • UNDER WARRANTY AND SERVICE PLAN,"219,990",2022,"35,900 km"
BMW,X6,BMW X6 X-DRIVE M40i • M-SPORT PACKAGE • AGENCY SERVICE HISTORY,"199,990",2020,"97,700 km"
Mercedes-Benz,A-Class,"3,584 P.M  | A35 | 0% Downpayment | Pristine Condition!","182,999",2024,"3,000 km"
MINI,Countryman,"2,526 P.M  | Countryman JCW | 0% Downpayment | Mini Warranty/Service contract!","128,999",2023,"59,000 km"
MINI,Cooper,"2,448 P.M | Cooper S | 0% Downpayment | Agency Warranty!","124,999",2023,"37,000 km"
Nissan,Patrol,"AED 2,683 / month I Warranty Included","175,000",2021,"145,102 km"
Audi,S6/RS6,2022 Audi RS6 Performance Exclusive | One-of-One | Warranty | payment plan,"379,000",2022,"48,000 km"
Mazda,6,R Grade | GCC | Original Paint | Single Owner | Full Agency Service History | Excellent Condition,"47,000",2018,"123,000 km"
RAM,1500,2025 RAM 1500 LARAMIE SST 3.0TT HURRICANE GCC 0Km With 3 Years or 60K Km Warranty @Official Dealer,"206,999",2025,0 km
Land Rover,Range Rover Evoque,Like New Top Of The Range Range Rover Evoque Dynamic Plus HSE GCC Specs Full Service History 1 Owner,"49,900",2015,"160,000 km"
MINI,Cooper,!!!G.C.C Like New Top Of The Range Mini Cooper John Cooper Works S Full Service History Single Owner,"39,000",2016,"150,000 km"
Fiat,500,Like New Top Of The Range Fiat 500 Sport GCC Specs Full Service History Single Owner,"19,000",2014,"140,000 km"
Fiat,500,!!!!!Amazing Top Fiat 500 Gucci Connect Hatchback GCC Specs UNDER WARRANTY Full Fiat Service History,"42,000",2022,"30,000 km"
Porsche,Cayenne,Porsche Cayenne V6 3.0 Sport Chrono Package 2019 Model GCC Specs With Full Service History,"179,500",2019,"117,000 km"
Opel,Mokka,GCC UNDER WARRANTY Until 08/2027 and 3-Service free BRAND NEW Opel Mokka Performance Turbo Unlimted,"67,000",2023,"4,000 km"
Chery,Tiggo 3,Like New Top Chery Tiggo-3 2.0 DVVT CVT Luxury Low mileage GCC Specs Full Agency Service History,"25,000",2018,"97,000 km"
Peugeot,208,!!!Amazing Top Peugeot 208 GT Line Sport GCC Specs Full Agency Service History Single Owner,"59,000",2022,"60,000 km"
Peugeot,3008,!!Amazing Top Peugeot 3008 GTI Lin 1.6L Only 80000KM GCC Specs Full Agency Service History 1st Owner,"59,900",2019,"80,000 km"
Audi,A1,Like New Top Of The Range Audi A1 S-Lain Sport GCC Specs Full Service History Single Owner,"28,000",2014,"150,000 km"
BMW,X1,Top Of The Range BMW X1 sDrive20i M Sport GCC Specs Full Service History 1st Owner,"44,000",2018,"190,000 km"
Volkswagen,Scirocco,"Amazing Top Of The Range Volkswagen Scirocco 2.0 TSI Sport Only 69,000KM GCC Full Vw Service History","42,000",2016,"69,000 km"
Volkswagen,Tiguan,!!!The best Top Volkswagen Tiguan Life Plus 4Matic Only 92000Km GCC Specs Full Vw Service History,"73,000",2019,"92,000 km"
Volkswagen,Touareg,Like New Top Of The Range Volkswagen Touareg R-Line GCC Specs Full Service History 1st Owner,"39,000",2014,"150,000 km"
Volkswagen,Touareg,!!Amazing Top Of The Range Volkswagen Touareg Sport-Line GCC Specs Full Service History Single Owner,"42,000",2015,"150,000 km"
BMW,X5,!!!Amazing TOP BMW X5 xDrive50i M Sport Original V8 GCC Specs Full Service History Single Owner,"42,000",2010,"120,000 km"
BMW,3-Series,Like New Top Of The Range BMW 3-Series 318i Exclusive GCC Specs Full Service History 1st Owner,"45,000",2018,"140,000 km"
Jetour,T2,"Jetour T2 2.0L Turbo 4WD 7 Speed DCT, Petrol Model 2025 Color Black Inside Green","139,000",2025,0 km
Jetour,Dashing,"JETOUR DASHING 1.6L Turbo, SUV, DCT, GCC Spec, Model 2025 Color White","91,000",2025,0 km
Cadillac,Escalade,(ТОЛЬКО НА ЭКСПОРТ) MY23/23 CADILLAC ESCALADE 600 SUV SPORT PLATINUM EURO 5 BRAND NEW,"359,999",2023,0 km
Mercedes-Benz,G-Class,2025 Mercedes Benz G 63 AMG | GCC | Warranty | Brand New| 4.0L V8,"1,149,000",2025,0 km
Mercedes-Benz,AMG,Mercedes Benz GT 53 AMG 2021 Clean Title Original Paint Fully serviced,"235,000",2021,"44,000 km"
Volkswagen,Golf,"2023, GCC, Volkswagen Golf R, Volkswagen Warranty Till Oct. 2026, Full Service History","169,000",2023,"6,969 km"
Jeep,Grand Cherokee,2013 JEEP GRAND CHEROKEE SRT CLEAN CONDITION GCC,"44,500",2013,"190,000 km"
Mercedes-Benz,GLE Coupe,MERCEDES GLE-43 COUPE GCC SHOWROOM CONDITION FULL SERVICE HISTORY,"127,000",2018,"112,000 km"
Mitsubishi,Outlander,Brand New Mitsubishi OutlanderEnjoy 2022 2.0L A/T FWD|Petrol|White/Black|OUTLANDERENJOY| FOR LOCAL |,"59,500",2022,0 km
Jetour,X70 Plus,Brand New Jetour X70Plus Comfort 2024 1.6L A/T 2WD|Petrol|Black/ Black|X70PC-24,"76,000",2024,0 km
Mercedes-Benz,GLC Coupe,2025 Mercedes-Benz GLC200 COUPE 4MATIC GCC 0K With 2 Years Unlimited Mileage Warranty,"319,999",2025,0 km
Toyota,Yaris,Toyota yaris model 2022  good condition accidents fre full automatic one owner uase gcc for sale,"38,000",2022,"56,000 km"
Infiniti,QX80,Infiniti QX80 2018 GCC full Option,"91,000",2018,"186,000 km"
Land Rover,Range Rover,"Extended Special Offers - AED 4,688 P/M - Range Rover P510 Vogue SE SVO","199,000",2017,"70,701 km"
Mercedes-Benz,V-Class,"0% Downpayment | AED 10,221 P/M | Warranty and Service Package Available | Brand New","660,000",2024,44 km
Mercedes-Benz,EQE,"0% Downpayment | AED 4,413 P/M | Gargash Warranty and Service Package | Gargash Service History","285,000",2023,"1,143 km"
Mercedes-Benz,AMG,"0% Downpayment | AED 7,665 P/M | Warranty and Service Package Available | Full-Service History","495,000",2018,"18,514 km"
Volvo,XC90,"2018 VOLVO XC90 T6 4WD R DESIGN | AED 1,916 P/M","99,000",2018,"118,851 km"
Mercedes-Benz,C-Class,2014 Mercedes-Benz C63 AMG 507 Edition | 10 Year SilberArrows Service History | Warranty Available,"175,000",2014,"103,885 km"
Mercedes-Benz,GLE-Class,"0% Downpayment | AED 6,179 P/M | Gargash Warranty and Service Package | Gargash Service History","399,000",2024,"14,958 km"
Mercedes-Benz,AMG,"0% Downpayment | AED 8,052 P/M | Gargash Warranty and Service Package | Gargash Service History","519,950",2024,"3,943 km"
Nissan,Kicks,GCC / 2024 / SV + NAVIGATION + CAMERA + CRUISE CONTROL / DEALER WARRANTY VALID,"59,900",2024,"6,640 km"
Ford,Ecosport,2021 / GCC / TREND! + CRUISE CONTROL + NAVIGATION + CAMERA + ALLOY WHEELS / WARRANTY + FREE SERVICE,"42,900",2021,"53,559 km"
Mercedes-Benz,EQE,"0% Downpayment | AED 4,413 P/M | Gargash Warranty and Service Package | Gargash Service History","285,000",2023,"16,444 km"
Mercedes-Benz,GLS-Class,"0% Downpayment | AED 10,825 P/M | Warranty and Service Package Available | Full Service History","699,000",2021,"27,000 km"
Mercedes-Benz,GLC,"0% Downpayment | AED 1,966 P/M | Warranty and Service Package Available | Full Service History","126,950",2018,"57,539 km"
Mercedes-Benz,C-Class,"0% Downpayment | AED 1,966 P/M | Gargash Warranty | Service Package Available | Full Service History","126,950",2020,"91,489 km"
Mercedes-Benz,EQE,"0% Downpayment | AED 4,413 P/M | Gargash Warranty and Service Package | Gargash Service History","285,000",2023,"14,802 km"
Mercedes-Benz,G-Class,"0% Downpayment | AED 5,637 P/M | Warranty and Service Package Available | Dealer Service History","299,000",2017,"65,797 km"
Mercedes-Benz,EQE,"0% Downpayment | AED 4,413 P/M | Gargash Warranty and Service Package | Gargash Service History","285,000",2023,"3,548 km"
Mercedes-Benz,C-Class,2018 MERCEDES C63 AMG S KOREAN SPECS,"139,000",2018,"84,747 km"
Jeep,Wrangler Unlimited,JEEP WRANGLER SAHARA V6 2022 FULL ACCESSORIES,"139,000",2022,"64,000 km"
Bentley,Continental,Bentley Continental GT W12 | Under Warranty | 2 Keys,"579,000",2021,"35,000 km"
Abarth,695,2024 Abarth 695 COMPETIZIONE 1.4 TURBOCHARGED GCC 0Km 5 Yrs Or 120K Km Wnty @Official Dealer,"104,999",2024,0 km
Mercedes-Benz,G-Class,2022 G63 4X4 | GCC Specs | Under Warranty | 2 Keys,"899,000",2022,"74,000 km"
BMW,2-Series,2023 BMW M240i | Low Mileage | Low Mileage,"189,000",2023,"29,000 km"
McLaren,570S,Mclaren 570S GCC SPECS | Under Warranty,"389,000",2016,"40,000 km"
BMW,X6,2022 BMW X6 M Competition,"349,000",2022,"22,000 km"
Rolls-Royce,Ghost,2021 Rolls Royce Ghost | GCC Specs,"799,000",2021,"50,000 km"
Porsche,Cayenne,"Extended Special Offers - AED 5,375 P/M - Cayenne Coupe Platinum Edition","366,500",2023,"14,260 km"
Mercedes-Maybach,S-Class,2019 Mercedes-Maybach S560 | No Accident No Paint | Original Maybach,"199,000",2019,"57,000 km"
Toyota,Alphard,2024 RHD TOYOTA ALPAHRD Z 2.5L 7-SEATS PETROL BRAND NEW 0Km,"250,000",2024,0 km
Bentley,Bentayga,2019 Bentley Bentayga | GCC Specs | Under Agency Warranty | Full Service Record,"369,000",2019,"69,000 km"
Cadillac,Escalade,2024 CADILLAC ESCALADE V 6.2L SUPERCHARGED V8 0KM With 5 Years  Or 200K KM Warranty,"649,999",2024,0 km
Audi,R8,"2022 Audi R8 | Only 6,000 kms | One of a Kind","499,000",2022,"22,000 km"
Lamborghini,Urus,2020 Lamborghini Urus | GCC Specs,"569,000",2020,"140,000 km"
Fengon,580,DFSK Fengon Glory 580 Pro 4 Cylinder 1.5L - GCC Specification with Dealer Warranty,"49,500",2023,"45,000 km"
Aston Martin,Vantage,TIMELESS CERTIFIED / 3 Year Warranty / 5 Year Service Contract,"1,250,000",2025,"2,600 km"
Aston Martin,Vantage,TIMELESS CERTIFIED / 1 Year Warranty / 1 Year Service Contract,"495,000",2019,185 km
Aston Martin,DBX,TIMELESS CERTIFIED / 3 Year Warranty / 5 Year Service Contract,"1,154,000",2024,"2,510 km"
Aston Martin,DB12,TIMELESS CERTIFIED / 2 Year Warranty / 4 Year Service Contract,"1,251,300",2024,"1,700 km"
Aston Martin,DB11,TIMELESS CERTIFIED / 1 Year Warranty / 1 Year Service Contract,"595,000",2019,"24,500 km"
Volkswagen,Teramont,Volkswagen | Teramont Trendline | 2022 | Warranty | Service History | Low Mileage,"147,000",2022,"20,450 km"
BMW,X5,BMW X5 M50i MODEL 2020 80250 KM WHITE GCC FULL SERVICE HISTORY,"184,000",2020,"80,250 km"
Hyundai,Elantra,"Hyundai Elantra 1.5L 2025 Chinese Specs 56000 AED including Vat  Warranty 3Years, can be Exported","56,000",2025,0 km
Fiat,500,2024 FIAT 500 Cabrio 1.4L FWD GCC 0Km With 2 Years Unlimited Mileage Warranty At Official Dealer,"77,999",2024,0 km
Peugeot,208,Peugeot 208 GCC 2015 excellent condition,"12,000",2015,"148,000 km"
Porsche,Cayenne,5 years Porsche warranty Feb 2030 - 2025 Porsche Cayenne Coupe Turbo GT GCC specs,"829,000",2025,"4,000 km"
Porsche,Carrera / 911,The New shape 2025 911 Porsche CARRERA Cabriolet 992.2  Sport chrono GCC specs UAE 2 years warranty,"679,000",2025,1 km
Land Rover,Range Rover,2025 Land Rover Range Rover HSE P530 - 5 Years Warranty - Lease to Own Available,"780,000",2025,20 km
Mazda,3 Hatchback,"1,455/pm | Mazda 3 Full Option | Warranty Agency 2028","94,950",2023,"32,153 km"
Nissan,Patrol,Nissan | Patrol LE Platinum | 2019 | Service History | Low Mileage,"178,500",2019,"26,706 km"
Abarth,695,Abarth | 695 Tourismo | 2023 | Warranty | Service History | Low Mileage,"89,900",2023,"8,321 km"
Chevrolet,Traverse,"1,446/pm | Chevrolet Traverse | 2 Years Warranty","34,950",2015,"137,532 km"
Kia,Sonet,RAMDAN OFFER KIA SONET 1.5 SPECIAL SUNROOF 2024 GCC WITH 5 YEARS WARRANTY + FREE REGISTRATION,"67,999",2024,0 km
Mercedes-Benz,V-Class,Mercede-Benz V 300 AVANTGARDE | 2025 GCC 0km | Agency Warranty | 360 View | 64 colors Ambeint Lights,"329,000",2025,0 km
Nissan,Kicks,KICKS GCC SPEC SINGLE OWNER ACCIDENT FREE 100% BANK FINANCE ALSO AVAILABLE WITH NO DOWN PAYMENT,"40,000",2020,"71,000 km"
Hyundai,i30,"SINGLE OWNER I30 GCC SPEC NO ACCIDENT, 100%BANK LOAN ALSO POSSIBLE, NO DOWNPAYMENT","27,000",2016,"85,000 km"
Nissan,Micra,"NISSAN MICRA GCC SPEC , EXCELLENT CONDITION SINGLE OWNER, ACCIDENT FREE","14,000",2014,"185,000 km"
Ford,Fusion,Gcc Ford fusion  go for less price in good condition,"24,000",2016,"103,000 km"
Toyota,Yaris,"YARIS 2022 GCC SPEC SINGLE OWNER, EXCELLENT CONDITION 100% BANK LOAN ALSO AVAILABLE NO DOWN PAYMENT","42,000",2022,"36,000 km"
Nissan,X-Trail,"X TRAIL 2018 GCC SPEC SINGLE OWNER EXCELLENT CONDITION , 0% DOWN PAYMENT , 100%BANK LOAN AVAILABLE","50,000",2018,"80,000 km"
Nissan,Altima,"GCC SPEC SINGLE OWNER , 100% BANK FINANCE WITH 0% DOWN PAYMENT, EXCELLENT CONDITION","55,000",2021,"51,000 km"
Kia,Sportage,"SPORTAGE GCC SPEC ONLY 24000 km, FULL SERVICE 100% BANK LOAN ALSO POSSIBLE NO DOWN PAYMENT","61,500",2021,"24,000 km"
Honda,CR-V,"CR V GCC SPEC, SINGLE OWNER EXCELLENT CONDITION , 100% BANK LOAN ALSO AVAILABLE","42,000",2016,"74,000 km"
Ford,Explorer,"EXPLORER 4x4 GCC SPEC, SINGLE OWNER,ACCIDENT FREE, 100%BANK FINANCE ALSO AVAILABLE","41,000",2016,"102,000 km"
Ford,Edge,"FORD EDGE GCC SPEC, EXCELLENT CONDITION SINGLE OWNER ACCIDENT FREE, 100%BANK FINANCE ALSO AVAILABLE","41,000",2016,"98,000 km"
Ford,Edge,"1,268/pm | Ford Edge V6 | Agency Warranty  Service 2026","67,950",2017,"77,972 km"
Mercedes-Benz,Vito,Mercedes Benz V350 - Brand New - Lease to Own Available,"340,000",2023,26 km
Mercedes-Benz,CLA,MERCEDES BENZ CLA250 AMG 4MATIC - GCC SPECS - BRAND NEW - 5 YEARS UNDER WARRANTY -,"228,000",2025,0 km
Mercedes-Benz,GLC Coupe,GLC200 4M COUPE AMG - GCC SPECS - BRAND NEW - 5 YEARS SERVICE CONTRACT-FREE SERVICE CONTRACT,"315,000",2025,0 km
Land Rover,Range Rover Velar,SWAP YOUR CAR for a GCC P400 Velar,"318,000",2024,"14,500 km"
Mercedes-Benz,G-Class,SWAP YOUR CAR for a 2025 G63-Gargash-Double Night Package- 5 Years Warranty-Service Contract,"1,148,000",2025,0 km
Porsche,Cayenne,SWAP YOUR CAR for GTS Cayenne - Under Nabooda Warranty Until 3/2026 - High Specs - Like New,"378,000",2022,"39,000 km"
Audi,A6,"AED 1,762pm • 0% Downpayment • 40 Tfsi • 1 Year warranty","114,950",2022,"74,355 km"
BMW,3-Series,"AED 1,302pm • 0% Downpayment • M-Sport • Agency warranty and Service contract Until January 2026","89,950",2018,"42,500 km"
MG,ZS,"BRAND NEW MG ZS 1.5 LUXURY || 2025 MODEL || COLOURS AVAILABLE - WHITE, SILVER, BLACK","47,500",2025,0 km
MG,ZS,BRAND NEW MG ZS 1.5 LUXURY || 2025 MODEL || SILVER,"47,500",2025,0 km
MINI,Countryman,"AED 1,222 pm • 0% Downpayment • Countryman S JCW Kit • 1 Year Warranty","69,950",2017,"95,532 km"
Kia,Seltos,AED 911/month | 2022 Kia Seltos Lx | GCC Specs | Ref#266211,"59,900",2022,"55,013 km"
Porsche,Macan,AED 4543/month | 2022 Porsche Macan Gts | GCC Specs | Ref#281625,"299,000",2022,"33,940 km"
Mercedes-Benz,G-Class,MERCEDES AMG G63 - BRAND NEW - FULL SPECIFICATION - WARRANTY - CARBON PACKAGE - PERFORMANCE PACKAGE,"1,029,000",2025,0 km
Mercedes-Benz,E-Class,"AED2,720/month | 2021 Mercedes-Benz E-Class E 300 2.0L | GCC Specifications | Ref#285656","179,000",2021,"82,086 km"
Audi,SQ5,AED 3791/month | 2023  TFSI Quattro | GCC Specs | Ref#284848,"249,500",2023,"14,393 km"
MINI,Countryman,AED1367/month | 2019 MINI Countryman John Cooper Works 2.0L | Warranty | GCC Specs | Ref#165608,"90,000",2019,"53,696 km"
Infiniti,QX60,AED 2576/month | 2023 Infiniti QX60 Luxury | GCC Specs | Ref#250320,"169,500",2023,"24,162 km"
Ford,Bronco,"AED2,727/month | 2021 Ford Bronco Wildtrak 2.7L | GCC Specifications | Ref#264220","179,500",2021,"19,133 km"
Rolls-Royce,Spectre,AED 29627/month | 2024 Rolls Royce spectre Other | GCC Specs | Ref#266420,"1,950,000",2024,"14,461 km"
Ford,Territory,AED 1512/month | 2024 Ford Territory Trend | GCC Specs | Ref#249462,"99,500",2024,"28,385 km"
Chevrolet,Groove,AED 722/month |  2023 Chevrolet Groove LT 1.5L | Warranty | GCC Specifications | Ref#251303,"47,500",2023,"43,206 km"
Toyota,FJ Cruiser,AED 2384/month | 2023 Toyota FJ Cruiser Gxr | GCC Specs | Ref#266822,"156,900",2023,"22,789 km"
Nissan,Patrol,AED 2430/month | 2022 Nissan Patrol Safari | GCC Specs | Ref#270234,"159,900",2022,"26,872 km"
Mitsubishi,Pajero,AED 1444/month | 2020 Mitsubishi Pajero Signature Edition 3.8L | Warranty | Service | Ref#230124,"95,000",2020,"35,712 km"
Mercedes-Benz,E-Class,AED 2507/month | 2020 Mercedes-Benz E 300 2.0L | GCC Specs | Ref#297024,"165,000",2020,"71,468 km"
Mercedes-Benz,C-Class,AED 2720/month | 2023 Mercedes-Benz C-Class C200 | GCC Specs | Ref#134904,"179,000",2023,"3,557 km"
BMW,4-Series,"AED3,183/month | 2023 BMW 4-Series 420i Convertible 2.0L  | Warranty | Service | GCC | Ref#266191","209,500",2023,"41,720 km"
Toyota,Yaris,AED 546/month | 2019  E | GCC Specs | Ref#275231,"35,900",2019,"99,905 km"
Rolls-Royce,Spectre,"AED30,311/month | 2024 Rolls-Royce Spectre Standard 102 kwh | Warranty | Service | GCC | Ref#241198","1,995,000",2024,"5,275 km"
Ford,Territory,AED 1292/month | 2023 Ford Territory Trend | GCC Specs | Ref#298577,"85,000",2023,"60,598 km"
